"Scenario","N","P","Rho","Model","Mean_RMSE","SD_RMSE","QRMSE_90","ERisk","TopOne"
"S2",75,9,0.6,"LASSO",1.99765005373664,0.0858877459956902,2.10366624799207,0.193888961224214,0.336
"S2",75,9,0.6,"ENet",1.99925668759725,0.0871218539407002,2.12014290417091,0.195495595084827,0.214
"S2",75,9,0.6,"BART",2.08490556868436,0.11017677593351,2.21442240871288,0.28114447617194,0.074
"S2",75,9,0.6,"RF",2.09377906075957,0.0869614516499206,2.20526687228356,0.290017968247152,0.044
"S2",75,9,0.6,"XGB",2.0919674756999,0.0963257970133945,2.21507947963988,0.288206383187478,0.08
"S2",150,9,0.6,"OLS",1.93291214731219,0.0393567345660141,1.98567325006613,0.130590773921259,0.104
"S2",150,9,0.6,"Ridge",1.93554300270211,0.0387329172821061,1.98559739388627,0.133221629311184,0.012
"S2",150,9,0.6,"LASSO",1.92552080557906,0.0426308974602897,1.97813403668392,0.123199432188127,0.126
"S2",150,9,0.6,"ENet",1.92578534705865,0.0410572038682639,1.97731623421737,0.123463973667717,0.074
"S2",150,9,0.6,"BART",1.92733992795796,0.0653465234657244,2.01143306373662,0.125018554567026,0.312
"S2",150,9,0.6,"RF",1.95990893380477,0.0561942289494913,2.0316851828848,0.157587560413835,0.042
"S2",150,9,0.6,"XGB",1.91652451576229,0.055107228368109,1.98935493687905,0.114203142371364,0.33
"S2",500,9,0.6,"OLS",1.88012877630004,0.0196294203632066,1.90589901305759,0.0751501959288091,0
"S2",500,9,0.6,"Ridge",1.89317390107277,0.0210637357997997,1.9200268975952,0.0881953207015408,0
"S2",500,9,0.6,"LASSO",1.87740899004138,0.0195480076536157,1.90257139163699,0.0724304096701568,0
"S2",500,9,0.6,"ENet",1.87825756531728,0.0198998156127495,1.90327886242649,0.0732789849460494,0
"S2",500,9,0.6,"BART",1.76054035144035,0.0301334246996067,1.79884107546253,-0.0444382289308719,0.07
"S2",500,9,0.6,"RF",1.79193849318526,0.0261937299314334,1.82459817961866,-0.013040087185966,0.002
"S2",500,9,0.6,"XGB",1.71910134449953,0.0231952123892779,1.74946850675308,-0.0858772358716944,0.928
"S2",35,9,0.85,"OLS",2.35386023987692,0.192897533039334,2.61367292441759,0.554883194545493,0.046
"S2",35,9,0.85,"Ridge",2.22102271000704,0.144899688146954,2.36333005443597,0.42204566467561,0.044
"S2",35,9,0.85,"LASSO",2.22870019467003,0.166660151006945,2.43801315148051,0.429723149338602,0.052
"S2",35,9,0.85,"ENet",2.22504857986634,0.154620258646124,2.42222673187446,0.426071534534908,0.052
"S2",35,9,0.85,"BART",2.1644303414611,0.151944981007153,2.35215230323712,0.365453296129665,0.054
"S2",35,9,0.85,"RF",2.06130153975536,0.138603617515926,2.24578373631546,0.262324494423927,0.702
"S2",35,9,0.85,"XGB",2.2018890180459,0.157754470022804,2.39701498075278,0.402911972714469,0.05
"S2",75,9,0.85,"OLS",2.14059488520326,0.0865559990172068,2.25317975986083,0.342883193553501,0.01
"S2",75,9,0.85,"Ridge",2.11304515944219,0.0723275521912955,2.20709970706224,0.315333467792432,0.01
"S2",75,9,0.85,"LASSO",2.11248302874634,0.0781227010315902,2.21269871779708,0.314771337096588,0.006
"S2",75,9,0.85,"ENet",2.11201731597096,0.0741958207663266,2.20483015394238,0.314305624321205,0.008
"S2",75,9,0.85,"BART",1.9913184915108,0.100514404393618,2.13061884683838,0.193606799861047,0.054
"S2",75,9,0.85,"RF",1.90464218751391,0.0817258224439778,2.02132140429038,0.106930495864151,0.87
"S2",75,9,0.85,"XGB",1.98977859568229,0.0949791140575976,2.11482159113859,0.192066904032535,0.042
"S2",150,9,0.85,"OLS",2.05403084959499,0.0433848523705931,2.10872328662026,0.249655868827792,0
"S2",150,9,0.85,"Ridge",2.05143001362704,0.0408248760229016,2.10279430878312,0.24705503285984,0
"S2",150,9,0.85,"LASSO",2.04346553695813,0.0433633289415317,2.0938884051489,0.239090556190927,0
"S2",150,9,0.85,"ENet",2.04504631009801,0.0428636730314708,2.09912901652344,0.240671329330812,0
"S2",150,9,0.85,"BART",1.85438124495202,0.0592693317373059,1.93094833942915,0.0500062641848208,0.076
"S2",150,9,0.85,"RF",1.79329756903333,0.0459387871375255,1.85238079715981,-0.0110774117338708,0.86
"S2",150,9,0.85,"XGB",1.84480762125641,0.053877261551185,1.91131218269786,0.0404326404892085,0.064
"S2",500,9,0.85,"OLS",1.99778124114786,0.0243903011896569,2.02839829503221,0.195583145847597,0
"S2",500,9,0.85,"Ridge",2.01846267082165,0.0255121826620914,2.05165098819681,0.216264575521385,0
"S2",500,9,0.85,"LASSO",1.99541463229916,0.0245715561947254,2.02699783717584,0.193216536998899,0
"S2",500,9,0.85,"ENet",1.99570845678665,0.0247815704818679,2.02734178826583,0.193510361486385,0
"S2",500,9,0.85,"BART",1.72077876377656,0.0315012668560812,1.75695628292193,-0.0814193315237024,0.016
"S2",500,9,0.85,"RF",1.68015503765463,0.0226850172490521,1.71034577346809,-0.122043057645634,0.336
"S2",500,9,0.85,"XGB",1.67581194356601,0.0244406346591086,1.70648558334636,-0.12638615173425,0.648
"S2",35,30,0.2,"OLS",5.29379078737583,1.90342475617086,7.92826170977444,3.50282078532706,0
"S2",35,30,0.2,"Ridge",2.90068348751888,0.0936464273812058,3.0089538955134,1.10971348547012,0
"S2",35,30,0.2,"LASSO",2.22316605786345,0.282192976712033,2.55735682813734,0.432196055814682,0.74
"S2",35,30,0.2,"ENet",2.26711517307351,0.259399104754642,2.59145036804554,0.476145171024741,0.232
